,title,director,quote,link
96,末代皇帝,贝纳尔多·贝托鲁奇,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
97,断背山,李安,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
98,爱在黎明破晓前,理查德·林克莱特,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
99,阿凡达,詹姆斯·卡梅隆,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
100,摩登时代,查理·卓别林,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
101,猫鼠游戏,史蒂文·斯皮尔伯格,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
102,哈利·波特与魔法石,Chris,童话世界的开端。,https://movie.douban.com/subject/1295038/
103,风之谷,宫崎骏,动画片的圣经。,https://movie.douban.com/subject/1291585/
104,爱在日落黄昏时,理查德·林克莱特,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
105,侧耳倾听,近藤喜文,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
106,萤火虫之墓,高畑勋,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
107,穿条纹睡衣的男孩,马克·赫门,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
108,驯龙高手,迪恩·德布洛斯,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
109,超脱,托尼·凯耶,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
110,消失的爱人,大卫·芬奇,年度最佳date movie。,https://movie.douban.com/subject/21318488/
111,幸福终点站,史蒂文·斯皮尔伯格,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
112,海洋,雅克·贝汉,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
113,菊次郎的夏天,北野武,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
114,倩女幽魂,程小东,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
115,恐怖直播,金秉祐,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
116,七武士,黑泽明,时代悲歌。,https://movie.douban.com/subject/1295399/
117,神偷奶爸,皮艾尔·柯芬,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
118,岁月神偷,罗启锐,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
119,电锯惊魂,詹姆斯·温,真相就在眼前。,https://movie.douban.com/subject/1417598/
120,谍影重重3,保罗·格林格拉斯,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
121,借东西的小人阿莉埃蒂,米林宏昌,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
122,燃情岁月,爱德华·兹威克,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
123,红辣椒,今敏,梦的勾结。,https://movie.douban.com/subject/1865703/
